InvoiceID,Branch,CustomerType,Gender,ProductType,UnitPrice,Quantity,Tax,Total,PaymentType,Rating
132-32-9879,B,Member,Female,Electronic accessories,93.96,4,18.792,394.632,Cash,9.5
370-41-7321,B,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,Credit card,8.4
727-46-3608,B,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,UPI,4.1
669-54-1719,B,Member,Male,Electronic accessories,18.93,6,5.679,119.259,Credit card,8.1
574-22-5561,C,Member,Female,Fashion accessories,82.63,10,41.315,867.615,UPI,7.9
326-78-5178,C,Member,Male,Food and beverages,91.4,7,31.99,671.79,Cash,9.5
162-48-8011,A,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,Cash,8.5
616-24-2851,B,Member,Female,Fashion accessories,17.87,4,3.574,75.054,UPI,6.5
778-71-5554,C,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,Credit card,6.1
242-55-6721,B,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,UPI,6.5
399-46-5918,C,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,Cash,8.2
106-35-6779,A,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,Cash,5.8
635-40-6220,A,Normal,Male,Health and beauty,89.6,8,35.84,752.64,UPI,6.6
817-48-8732,A,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash,5.4
120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,Cash,9.3
285-68-5083,C,Member,Female,Sports and travel,24.74,3,3.711,77.931,Credit card,10
803-83-5989,C,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,UPI,7
347-34-2234,B,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,UPI,10
199-75-8169,A,Member,Male,Sports and travel,15.81,10,7.905,166.005,Credit card,8.6
853-23-2453,B,Member,Male,Health and beauty,75.74,4,15.148,318.108,Cash,7.6
877-22-3308,A,Member,Male,Health and beauty,15.87,10,7.935,166.635,Cash,5.8
838-78-4295,C,Normal,Female,Health and beauty,33.47,2,3.347,70.287,UPI,6.7
109-28-2512,B,Member,Female,Fashion accessories,97.61,6,29.283,614.943,UPI,9.9
232-11-3025,A,Normal,Male,Sports and travel,78.77,10,39.385,827.085,Cash,6.4
382-03-4532,A,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,Cash,4.3
393-65-2792,C,Normal,Male,Food and beverages,89.48,10,44.74,939.54,Credit card,9.6
796-12-2025,C,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,Cash,5.9
510-95-6347,B,Member,Female,Food and beverages,48.52,3,7.278,152.838,UPI,4
841-35-6630,C,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,Cash,8.7
287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,UPI,9.4
732-94-0499,C,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,Credit card,5.4
263-10-3913,C,Member,Male,Fashion accessories,49.04,9,22.068,463.428,Credit card,8.6
381-20-0914,A,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,5.7
829-49-1914,C,Member,Female,Food and beverages,78.31,10,39.155,822.255,UPI,6.6
756-01-7507,C,Normal,Female,Health and beauty,20.38,5,5.095,106.995,Cash,6
870-72-4431,C,Normal,Female,Health and beauty,99.19,6,29.757,624.897,Credit card,5.5
847-38-7188,B,Normal,Female,Food and beverages,96.68,3,14.502,304.542,UPI,6.4
480-63-2856,C,Normal,Male,Food and beverages,19.25,8,7.7,161.7,UPI,6.6
787-56-0757,C,Member,Female,Food and beverages,80.36,4,16.072,337.512,Credit card,8.3
360-39-5055,C,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,Cash,6.6
730-50-9884,C,Normal,Female,Sports and travel,83.06,7,29.071,610.491,UPI,4
362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,Cash,9.9
633-44-8566,A,Member,Male,Food and beverages,49.38,7,17.283,362.943,Credit card,7.3
504-35-8843,A,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash,5.7
318-68-5053,B,Normal,Female,Health and beauty,76.99,6,23.097,485.037,Cash,6.1
565-80-5980,C,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,Cash,7.1
225-32-0908,C,Normal,Female,Sports and travel,44.86,10,22.43,471.03,UPI,8.2
873-51-0671,A,Member,Female,Sports and travel,21.98,7,7.693,161.553,UPI,5.1
152-08-9985,B,Member,Male,Health and beauty,64.36,9,28.962,608.202,Credit card,8.6
512-91-0811,C,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,Credit card,6.6
594-34-4444,A,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,UPI,7.2
766-85-7061,B,Normal,Male,Health and beauty,87.87,10,43.935,922.635,UPI,5.1
871-39-9221,C,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,Cash,4.1
865-92-6136,A,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,UPI,9.3
733-01-9107,B,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,Cash,7.4
163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,Cash,4.1
189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,Cash,7.2
551-21-3069,C,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,Cash,4.9
212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.478,367.038,Cash,9.9
716-39-1409,B,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,Cash,8
704-48-3927,A,Member,Male,Electronic accessories,88.67,10,44.335,931.035,UPI,7.3
628-34-3388,C,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,Credit card,7.9
630-74-5166,A,Normal,Male,Sports and travel,62.13,6,18.639,391.419,Cash,7.4
588-01-7461,C,Normal,Female,Food and beverages,33.98,9,15.291,321.111,Cash,4.2
861-77-0145,C,Member,Male,Electronic accessories,81.97,10,40.985,860.685,Cash,9.2
479-26-8945,B,Member,Female,Sports and travel,16.49,2,1.649,34.629,UPI,4.6
210-67-5886,C,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,Credit card,7.8
227-78-1148,B,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,Cash,8.4
645-44-1170,A,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,UPI,4.3
237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card,9.5
225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,Credit card,7.1
291-32-1427,B,Member,Male,Fashion accessories,21.94,5,5.485,115.185,UPI,5.3
659-65-8956,B,Member,Male,Fashion accessories,51.36,1,2.568,53.928,UPI,5.2
642-32-2990,A,Normal,Female,Food and beverages,10.96,10,5.48,115.08,UPI,6
378-24-2715,B,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,UPI,4.1
638-60-7125,A,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,Credit card,5.2
659-36-1684,C,Member,Male,Sports and travel,57.12,7,19.992,419.832,Credit card,6.5
219-22-9386,B,Member,Male,Sports and travel,99.96,9,44.982,944.622,Credit card,4.2
336-78-2147,C,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,Credit card,4.6
268-27-6179,B,Member,Female,Fashion accessories,56.47,8,22.588,474.348,UPI,7.3
668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card,4.5
870-54-3162,A,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash,9
189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,Credit card,5.9
663-86-9076,C,Member,Female,Food and beverages,68.54,8,27.416,575.736,UPI,8.5
549-84-7482,B,Normal,Female,Sports and travel,90.28,9,40.626,853.146,UPI,7.2
191-10-6171,B,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,Cash,7.5
802-70-5316,A,Member,Female,Sports and travel,92.13,6,27.639,580.419,Cash,8.3
695-51-0018,B,Normal,Female,Sports and travel,34.84,4,6.968,146.328,Cash,7.4
590-83-4591,B,Member,Male,Electronic accessories,87.45,6,26.235,550.935,Credit card,8.8
483-71-1164,C,Normal,Female,Health and beauty,81.3,6,24.39,512.19,UPI,5.3
597-78-7908,C,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,Cash,6.2
700-81-1757,A,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card,8.8
354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,Cash,9.8
241-72-9525,B,Normal,Male,Sports and travel,51.91,10,25.955,545.055,Cash,8.2
575-30-8091,A,Normal,Male,Sports and travel,72.5,8,29,609,UPI,9.2
731-81-9469,C,Member,Female,Sports and travel,89.8,10,44.9,942.9,Credit card,5.4
280-17-4359,C,Member,Male,Health and beauty,90.5,10,45.25,950.25,Cash,8.1
338-65-2210,C,Member,Female,Health and beauty,68.6,10,34.3,720.3,Cash,9.1
488-25-4221,C,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,Credit card,8.4
239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,UPI,8
458-41-1477,C,Normal,Female,Health and beauty,46.26,6,13.878,291.438,Credit card,9.5
685-64-1609,A,Member,Female,Fashion accessories,30.14,10,15.07,316.47,UPI,9.2
568-90-5112,C,Normal,Male,Health and beauty,66.14,4,13.228,277.788,Credit card,5.6
262-47-2794,B,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,Credit card,6.2
238-49-0436,A,Normal,Male,Health and beauty,32.46,8,12.984,272.664,Credit card,4.9
608-96-3517,B,Member,Female,Fashion accessories,91.54,4,18.308,384.468,Credit card,4.8
584-86-7256,C,Member,Male,Sports and travel,34.56,7,12.096,254.016,Credit card,7.3
746-94-0204,A,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,Credit card,7.4
214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.944,103.824,UPI,9.9
400-89-4171,C,Normal,Female,Sports and travel,80.97,8,32.388,680.148,Cash,9.3
782-95-9291,A,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,Credit card,9
279-74-2924,B,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash,6.1
307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,UPI,9.7
743-04-1105,B,Member,Male,Health and beauty,97.22,9,43.749,918.729,UPI,6
423-57-2993,B,Normal,Male,Sports and travel,93.39,6,28.017,588.357,UPI,10
894-41-5205,C,Normal,Female,Food and beverages,43.18,8,17.272,362.712,Credit card,8.3
275-28-0149,A,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,Cash,6
101-17-6199,A,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,Credit card,7
423-80-0988,C,Normal,Male,Sports and travel,76.4,2,7.64,160.44,UPI,6.5
548-46-9322,B,Normal,Male,Food and beverages,39.9,10,19.95,418.95,Credit card,5.9
505-02-0892,B,Member,Male,Health and beauty,42.57,8,17.028,357.588,UPI,5.6
234-65-2137,C,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,Cash,4.8
687-47-8271,A,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,Credit card,8.7
796-32-9050,A,Normal,Male,Food and beverages,51.28,6,15.384,323.064,Cash,6.5
105-31-1824,A,Member,Male,Sports and travel,69.52,7,24.332,510.972,Credit card,8.5
249-42-3782,A,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,UPI,5.5
316-55-4634,B,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,Credit card,9.4
733-33-4967,C,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,Cash,6.3
608-27-6295,B,Member,Male,Electronic accessories,52.89,6,15.867,333.207,Credit card,9.8
414-12-7047,B,Normal,Male,Food and beverages,19.79,8,7.916,166.236,UPI,8.7
827-26-2100,A,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,UPI,8.8
175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868,186.228,Credit card,9.6
139-52-2867,C,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,Credit card,4.8
407-63-8975,A,Normal,Male,Food and beverages,73.88,6,22.164,465.444,UPI,4.4
342-65-4817,C,Member,Male,Health and beauty,86.8,3,13.02,273.42,UPI,9.9
130-98-8941,C,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,Cash,5.7
434-83-9547,C,Member,Male,Food and beverages,38.47,8,15.388,323.148,Cash,7.7
851-28-6367,A,Member,Male,Sports and travel,15.5,10,7.75,162.75,UPI,8
824-88-3614,C,Normal,Male,Health and beauty,34.31,8,13.724,288.204,UPI,5.7
586-25-0848,A,Normal,Female,Sports and travel,12.34,7,4.319,90.699,Credit card,6.7
895-66-0685,B,Member,Male,Food and beverages,18.08,3,2.712,56.952,UPI,8
305-14-0245,B,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,UPI,7.5
732-04-5373,B,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,Cash,7
400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,UPI,9.9
593-65-1552,C,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,Credit card,5.9
284-34-9626,B,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,Credit card,7.2
437-58-8131,B,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,UPI,4.6
286-43-6208,C,Normal,Female,Food and beverages,87.8,9,39.51,829.71,Cash,9.2
641-43-2399,B,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,UPI,5.7
831-07-6050,A,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,Credit card,9.9
556-86-3144,C,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,Cash,5
848-24-9445,C,Member,Male,Health and beauty,43.7,2,4.37,91.77,Cash,4.9
856-22-8149,A,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,UPI,6.1
699-01-4164,C,Normal,Male,Health and beauty,41.5,4,8.3,174.3,Credit card,8.2
420-11-4919,C,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,Credit card,5.5
606-80-4905,C,Member,Female,Sports and travel,19.15,6,5.745,120.645,Credit card,6.8
542-41-0513,B,Member,Female,Electronic accessories,57.49,4,11.498,241.458,Cash,6.6
426-39-2418,C,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,Cash,9.8
875-46-5808,B,Member,Male,Health and beauty,25.9,10,12.95,271.95,UPI,8.7
394-43-4238,B,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,Credit card,5.4
749-24-1565,A,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,UPI,7.9
672-51-8681,C,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,Credit card,9.7
263-87-5680,C,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,UPI,7.8
573-58-9734,B,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,UPI,5.1
817-69-8206,B,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,Credit card,6.5
888-02-0338,A,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,UPI,5.9
677-11-0152,C,Normal,Female,Food and beverages,93.26,9,41.967,881.307,Cash,8.8
142-63-6033,B,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,UPI,4.9
656-16-1063,B,Normal,Male,Sports and travel,46.42,3,6.963,146.223,Credit card,4.4
891-58-8335,B,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,Cash,6.5
802-43-8934,A,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,Credit card,8.3
560-30-5617,B,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,Cash,8.5
319-74-2561,A,Member,Female,Electronic accessories,94.64,3,14.196,298.116,Cash,5.5
549-03-9315,B,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,UPI,8.7
790-29-1172,B,Normal,Female,Food and beverages,57.34,3,8.601,180.621,Credit card,7.9
239-36-3640,B,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,UPI,6.1
468-01-2051,B,Normal,Male,Food and beverages,62.08,7,21.728,456.288,UPI,5.4
389-25-3394,C,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,Cash,9.4
279-62-1445,C,Member,Female,Fashion accessories,12.54,1,0.627,13.167,Cash,8.2
213-72-6612,A,Normal,Male,Food and beverages,43.25,2,4.325,90.825,Cash,6.2
746-68-6593,C,Member,Female,Sports and travel,87.16,2,8.716,183.036,Credit card,9.7
836-82-5858,B,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,UPI,4
583-72-1480,C,Member,Male,Electronic accessories,37.06,4,7.412,155.652,UPI,9.7
466-61-5506,B,Member,Female,Electronic accessories,90.7,6,27.21,571.41,Cash,5.3
721-86-6247,A,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,UPI,7.4
289-65-5721,B,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,Cash,6.5
545-46-3100,B,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,Credit card,8.7
418-02-5978,B,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,Cash,8
269-04-5750,B,Member,Male,Fashion accessories,73.82,4,14.764,310.044,Cash,6.7
157-13-5295,A,Member,Male,Health and beauty,51.94,10,25.97,545.37,UPI,6.5
645-78-8093,A,Normal,Female,Sports and travel,93.14,2,9.314,195.594,UPI,4.1
211-30-9270,C,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,Credit card,4.9
755-12-3214,C,Member,Female,Fashion accessories,44.22,5,11.055,232.155,Credit card,8.6
346-84-3103,B,Member,Female,Electronic accessories,13.22,5,3.305,69.405,Cash,4.3
478-06-7835,A,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,UPI,4.9
540-11-4336,A,Normal,Male,Food and beverages,24.94,9,11.223,235.683,Credit card,5.6
448-81-5016,A,Normal,Male,Health and beauty,59.77,2,5.977,125.517,Credit card,5.8
142-72-4741,C,Member,Male,Fashion accessories,93.2,2,9.32,195.72,Credit card,6
217-58-1179,A,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,Cash,4.2
376-02-8238,B,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,Credit card,8.3
530-90-9855,A,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,Cash,5.7
866-05-7563,B,Member,Female,Electronic accessories,81.4,3,12.21,256.41,Cash,4.8
604-70-6476,A,Member,Male,Fashion accessories,17.94,5,4.485,94.185,UPI,6.8
799-71-1548,A,Member,Male,Electronic accessories,77.72,4,15.544,326.424,Credit card,8.8
785-13-7708,B,Normal,Male,Food and beverages,73.06,7,25.571,536.991,Credit card,4.2
845-51-0542,B,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,UPI,6.4
662-47-5456,C,Member,Male,Fashion accessories,35.19,10,17.595,369.495,Credit card,8.4
883-17-4236,C,Normal,Female,Sports and travel,14.39,2,1.439,30.219,Credit card,7.2
290-68-2984,A,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,Cash,5.2
704-11-6354,A,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,Cash,8.9
110-48-7033,B,Member,Male,Fashion accessories,32.62,4,6.524,137.004,Cash,9
366-93-0948,A,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,Credit card,9.7
729-09-9681,A,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,UPI,8.7
151-16-1484,A,Member,Male,Electronic accessories,32.25,4,6.45,135.45,UPI,6.5
380-94-4661,C,Member,Male,Electronic accessories,65.94,4,13.188,276.948,Credit card,6.9
850-41-9669,A,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,UPI,6.2
821-07-3596,C,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,UPI,5.6
655-85-5130,B,Member,Female,Fashion accessories,38.3,4,7.66,160.86,Cash,5.7
447-15-7839,A,Member,Female,Sports and travel,22.24,10,11.12,233.52,Cash,4.2
154-74-7179,B,Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,UPI,7.9
253-12-6086,A,Member,Female,Sports and travel,98.4,7,34.44,723.24,Credit card,8.7
808-65-0703,C,Normal,Male,Home and lifestyle,35.47,4,7.094,148.974,Credit card,6.9
571-94-0759,B,Member,Female,Food and beverages,74.6,10,37.3,783.3,Cash,9.5
144-51-6085,A,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,Credit card,4.4
731-14-2199,A,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,UPI,7
783-09-1637,B,Normal,Female,Sports and travel,67.43,5,16.8575,354.0075,UPI,6.3
687-15-1097,C,Member,Female,Health and beauty,21.12,2,2.112,44.352,Cash,9.7
126-54-1082,A,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,Credit card,8.8
633-91-1052,A,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,Cash,5.1
477-24-6490,B,Normal,Female,Health and beauty,99.71,6,29.913,628.173,UPI,7.9
566-19-5475,B,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,Cash,6.2
526-86-8552,C,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,Cash,7.1
376-56-3573,C,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,UPI,6.4
537-72-0426,C,Member,Male,Fashion accessories,70.99,10,35.495,745.395,Cash,5.7
828-61-5674,A,Member,Male,Sports and travel,44.02,10,22.01,462.21,Credit card,9.6
136-08-6195,A,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,Credit card,6.4
523-38-0215,C,Normal,Male,Home and lifestyle,37,1,1.85,38.85,Credit card,7.9
490-29-1201,A,Normal,Female,Sports and travel,15.34,1,0.767,16.107,Cash,6.5
667-92-0055,A,Member,Male,Health and beauty,99.83,6,29.949,628.929,UPI,8.5
565-17-3836,A,Member,Female,Health and beauty,47.67,4,9.534,200.214,Cash,9.1
498-41-1961,B,Normal,Male,Health and beauty,66.68,5,16.67,350.07,Cash,7.6
593-95-4461,C,Member,Male,Home and lifestyle,74.86,1,3.743,78.603,Cash,6.9
226-71-3580,C,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,Cash,9.5
283-79-9594,B,Normal,Female,Food and beverages,48.51,7,16.9785,356.5485,Credit card,5.2
430-60-3493,A,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,Cash,4.2
139-20-0155,B,Member,Male,Electronic accessories,40.3,10,20.15,423.15,Credit card,7
558-80-4082,C,Normal,Male,Electronic accessories,27.85,7,9.7475,204.6975,UPI,6
278-97-7759,A,Member,Female,Electronic accessories,62.48,1,3.124,65.604,Cash,4.7
316-68-6352,A,Member,Female,Food and beverages,36.36,2,3.636,76.356,Cash,7.1
585-03-5943,B,Normal,Male,Health and beauty,18.11,10,9.055,190.155,UPI,5.9
211-05-0490,C,Member,Female,Electronic accessories,51.92,5,12.98,272.58,Cash,7.5
727-75-6477,C,Normal,Male,Electronic accessories,28.84,4,5.768,121.128,Cash,6.4
744-02-5987,A,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,UPI,5.8
307-83-9164,A,Member,Male,Home and lifestyle,60.01,4,12.002,252.042,Cash,4.5
779-06-0012,C,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,Cash,7.7
446-47-6729,C,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,Credit card,6.7
573-10-3877,B,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,Credit card,4.7
735-06-4124,C,Normal,Male,Food and beverages,48.61,1,2.4305,51.0405,Cash,4.4
