CustomerID,Age,Gender,AnnualIncome,TotalSpend,YearsAsCustomer,NumOfPurchases,AvgTransactionAmount,NumOfReturns,NumOfSupportQueries,SatisfactionScore,LastPurchaseDaysAgo,EmailOptIn,PromotionResponse,Churn
61,54,Male,50.41,1505.67,8,66,72.76,7,3,4,86,True,Responded,True
62,23,Other,87.33,2667.8,1,46,62.48,3,1,3,209,True,Unsubscribed,False
63,56,Female,94.48,4331.87,5,31,207.3,9,2,4,251,False,Ignored,False
64,58,Other,143.55,108.94,11,13,349.08,0,4,2,65,True,Responded,False
65,35,Other,73.26,791.16,9,70,132.59,2,0,3,137,True,Unsubscribed,False
66,33,Male,74.59,2342.26,13,57,198.67,8,3,3,105,True,Ignored,False
67,22,Female,84.06,4862.91,7,22,286.46,5,3,5,261,True,Responded,True
68,59,Female,165.85,2590.08,3,70,408.6,1,1,2,4,False,Unsubscribed,True
69,60,Male,123.97,8779.15,12,17,307.76,6,4,2,323,False,Ignored,True
70,49,Female,33.55,3310.3,13,44,100.75,8,4,1,259,False,Responded,False
71,19,Female,34.08,9253.77,16,24,129.65,1,4,5,262,False,Unsubscribed,False
72,19,Other,86.83,9750.39,9,41,191.99,3,1,4,307,False,Responded,True
73,57,Male,157.99,4553.63,9,38,248.66,7,1,3,182,True,Responded,True
74,59,Female,143.96,2348.58,14,49,443.26,0,1,5,42,False,Unsubscribed,False
75,53,Male,147.44,2987.49,1,40,130.87,2,2,1,138,False,Responded,False
76,56,Other,158.1,7785.7,1,39,464.56,0,2,1,267,False,Unsubscribed,True
77,29,Female,71.69,2806.16,16,44,388.99,5,3,2,284,False,Unsubscribed,True
78,64,Male,118.69,3867.77,18,49,166.56,4,3,3,104,True,Unsubscribed,True
79,36,Female,117.8,4837.9,13,1,483.73,5,0,1,162,True,Ignored,False
80,45,Male,153.13,5793.6,17,10,190.7,6,0,4,85,True,Responded,False
81,18,Other,192.24,9961.39,12,16,342.92,7,3,2,8,True,Responded,True
82,32,Other,70.04,2398.88,16,53,468.91,0,0,5,219,True,Responded,False
83,53,Female,162.79,3598.89,1,54,396.71,7,2,3,87,False,Unsubscribed,True
84,30,Female,138.79,2702.62,15,5,444.39,7,3,2,8,True,Unsubscribed,True
85,60,Male,124.44,3675.02,5,29,89.22,4,1,5,112,False,Unsubscribed,True
86,38,Female,159.48,1097.96,19,36,325.33,8,4,1,227,True,Ignored,True
87,29,Other,189.93,3662.12,18,21,49.15,8,1,1,303,False,Ignored,True
88,22,Other,26.6,8889.86,9,7,490.18,4,0,2,240,False,Responded,False
89,24,Other,46.53,3056.04,5,42,352.16,3,1,1,111,False,Responded,True
90,22,Female,156.13,3782.15,11,32,61.07,3,3,2,269,True,Unsubscribed,False
91,65,Male,35.08,9450.29,2,90,398.57,1,3,4,276,True,Responded,False
92,21,Other,112.9,7310.95,2,81,236.53,9,0,1,340,True,Unsubscribed,False
93,30,Other,59.57,5215.71,15,69,48.96,6,3,3,23,True,Responded,True
94,54,Female,69.37,7794.21,19,14,404.14,2,1,1,335,True,Unsubscribed,False
95,58,Female,146.33,1319.48,4,34,27.27,4,4,3,325,False,Responded,True
96,32,Female,25.43,4698.45,17,18,399.71,6,0,2,207,False,Ignored,True
97,33,Female,177.2,1270.54,6,66,291.37,9,4,3,223,False,Responded,False
98,38,Male,100.01,2412.82,4,90,11.33,9,2,1,278,True,Responded,False
99,53,Female,110.43,1504.49,16,48,228.21,9,4,5,209,False,Ignored,True
100,41,Male,117.21,3681.83,14,87,309.19,2,3,2,147,False,Ignored,False
101,33,Male,136.2,3878.23,9,43,110.51,5,1,3,353,True,Responded,True
102,31,Other,82.07,9478.35,8,23,125.7,8,4,1,82,False,Ignored,True
103,39,Other,38.2,2714.84,12,82,41.71,8,4,1,266,True,Ignored,False
104,66,Female,77.31,4777.05,9,68,338.17,5,1,4,95,False,Ignored,True
105,67,Other,50.27,8132.66,9,20,105.31,0,0,4,261,True,Unsubscribed,True
106,23,Male,120.1,8174.61,19,47,431.93,4,1,5,173,False,Unsubscribed,True
107,59,Female,77.25,7528.4,6,30,381.68,8,2,2,162,False,Ignored,True
108,53,Female,192.45,2949.55,7,69,55.55,2,4,4,144,True,Unsubscribed,False
109,18,Female,193.83,5000.22,6,85,283.26,9,1,5,255,False,Ignored,False
110,49,Female,131.62,1943.49,12,31,212.13,5,4,3,195,True,Responded,True
111,23,Other,131.15,1965.16,16,45,391.58,0,0,2,169,False,Responded,False
112,48,Female,197.37,4414.83,13,80,334.47,9,4,2,145,False,Responded,False
113,18,Male,179.71,7412.06,5,34,48.3,4,4,4,78,True,Responded,False
114,67,Female,157.71,5313.18,4,5,491.01,3,1,2,150,False,Responded,False
115,68,Other,76.45,8878.16,19,84,135.89,7,0,5,332,False,Ignored,False
116,54,Male,85.8,8326.0,18,38,135.22,2,2,2,82,True,Ignored,True
117,52,Other,56.23,412.89,13,53,159.35,2,1,1,112,True,Responded,True
118,66,Other,107.69,5727.35,13,65,488.27,0,1,5,58,False,Ignored,False
119,47,Other,198.27,6130.7,1,18,403.85,0,0,5,38,True,Responded,False
120,21,Other,184.19,9619.59,1,18,52.17,8,3,2,203,False,Unsubscribed,False
121,52,Female,41.3,330.04,7,40,214.81,6,4,2,362,True,Ignored,False
122,60,Other,24.53,5357.93,4,19,429.09,2,1,4,259,True,Responded,True
123,31,Female,181.75,2127.34,10,6,181.12,5,0,1,121,False,Responded,False
124,66,Female,116.69,631.26,9,99,152.79,1,1,4,216,True,Ignored,False
125,57,Other,56.03,5916.14,4,4,323.31,7,0,2,199,True,Responded,False
126,39,Male,141.26,7748.78,11,59,190.16,9,0,1,21,False,Ignored,False
127,27,Other,135.96,7771.17,13,1,89.19,4,2,3,21,True,Unsubscribed,True
128,18,Other,41.98,399.86,9,36,246.8,0,0,4,190,False,Ignored,True
129,28,Female,66.73,4128.77,7,26,407.73,3,0,2,359,True,Ignored,False
130,68,Female,30.81,540.65,8,85,423.82,5,3,5,50,False,Unsubscribed,False
131,61,Female,57.77,2553.6,19,94,311.67,6,4,5,326,False,Unsubscribed,False
132,41,Female,43.82,2009.52,16,66,499.57,5,2,2,337,True,Unsubscribed,False
133,20,Other,54.78,2230.31,5,15,492.49,5,4,3,245,False,Responded,True
134,52,Male,143.38,3457.27,12,45,126.96,1,1,3,179,False,Unsubscribed,True
135,53,Male,28.91,2846.44,12,5,387.75,0,2,1,208,True,Ignored,True
136,48,Male,38.33,9626.57,13,71,100.11,7,2,5,296,False,Responded,False
137,21,Male,44.15,3588.83,1,18,211.59,3,0,3,274,False,Responded,True
138,36,Female,76.98,8952.31,6,94,14.88,3,3,4,352,True,Unsubscribed,True
139,64,Other,73.78,1892.31,7,62,108.7,1,0,3,27,False,Unsubscribed,False
140,53,Female,65.91,7661.09,14,57,119.57,4,3,4,30,False,Unsubscribed,True
141,38,Female,155.1,707.32,6,2,494.0,8,2,5,140,False,Responded,False
142,35,Other,199.64,4681.34,19,17,30.41,5,2,4,231,False,Unsubscribed,False
143,68,Other,116.12,154.55,13,67,473.47,8,3,2,322,True,Unsubscribed,True
144,45,Other,189.96,8121.88,15,79,420.71,6,0,4,303,True,Unsubscribed,True
145,32,Female,91.39,9509.81,4,50,21.01,7,0,2,254,False,Unsubscribed,False
146,59,Male,39.2,447.56,10,25,77.0,5,2,3,236,False,Unsubscribed,True
147,19,Female,93.58,9345.08,6,70,318.22,0,0,2,49,False,Responded,True
148,54,Female,73.3,7761.15,2,22,181.89,4,2,5,120,False,Responded,False
149,28,Other,108.81,3652.73,2,9,177.27,3,2,5,231,True,Ignored,True
150,40,Female,138.27,9097.88,1,73,351.27,8,1,4,52,True,Ignored,False
151,61,Male,102.99,3032.95,16,34,497.43,5,3,5,4,False,Ignored,False
152,58,Male,188.33,4152.02,11,70,173.03,6,3,1,338,True,Responded,True
153,29,Female,179.26,1057.44,13,97,462.29,5,1,4,319,True,Unsubscribed,True
154,20,Other,146.36,6603.7,14,1,366.94,5,1,1,5,False,Unsubscribed,False
155,69,Female,108.14,393.05,4,44,425.02,0,4,5,82,True,Unsubscribed,True
156,34,Male,43.7,4900.56,11,7,259.33,0,2,3,227,True,Ignored,True
157,50,Male,91.46,6863.6,10,15,271.31,7,4,3,196,False,Responded,False
158,18,Female,146.79,8230.25,6,38,277.77,7,2,5,50,True,Ignored,False
159,56,Male,71.28,1584.42,14,93,286.92,8,3,3,114,False,Ignored,False
160,37,Female,38.72,7565.49,9,81,80.78,2,4,3,148,True,Ignored,True
161,64,Male,183.42,7218.86,18,54,111.45,1,2,5,303,False,Unsubscribed,True
162,60,Other,147.63,5639.75,14,30,85.33,7,3,5,339,True,Unsubscribed,False
163,69,Male,130.75,5887.98,4,83,103.58,6,3,1,296,False,Unsubscribed,False
164,58,Female,162.65,1003.58,1,94,335.83,0,1,2,331,True,Ignored,True
165,31,Female,170.42,6044.66,15,4,111.19,0,1,1,126,False,Ignored,True
166,48,Other,107.02,3877.07,15,75,440.41,6,4,4,222,True,Responded,True
167,42,Male,178.61,8689.05,7,42,68.54,5,0,4,201,True,Unsubscribed,False
168,20,Female,184.96,3199.68,16,40,494.48,5,0,3,127,True,Ignored,True
169,21,Male,68.88,5808.29,6,97,10.7,7,3,4,99,False,Responded,True
170,48,Other,129.36,4323.06,1,33,423.5,0,2,3,188,True,Ignored,True
171,52,Female,114.79,8774.99,8,29,10.98,0,4,5,214,True,Ignored,False
172,61,Other,116.83,2613.78,8,15,394.88,5,4,2,239,True,Ignored,True
173,31,Female,188.78,880.14,18,96,366.55,5,4,5,6,False,Responded,False
174,66,Male,74.93,7511.69,1,99,350.32,1,2,5,69,True,Responded,False
175,58,Female,197.02,4187.68,16,63,181.93,5,3,5,37,False,Responded,False
176,26,Other,182.38,5932.07,12,62,317.27,1,2,3,125,True,Unsubscribed,True
177,37,Female,102.57,361.25,12,68,303.71,5,4,3,40,False,Responded,False
178,49,Other,167.14,9525.89,19,14,372.37,9,2,2,119,False,Unsubscribed,False
179,26,Female,158.43,8788.42,12,19,357.91,7,3,5,86,True,Ignored,True
180,44,Other,142.02,6276.29,7,82,131.63,4,0,2,250,False,Unsubscribed,True
181,20,Male,77.57,268.6,8,62,357.7,7,4,3,165,True,Responded,True
182,21,Female,55.36,3841.97,4,35,163.11,2,0,5,175,True,Unsubscribed,False
183,62,Male,140.87,9790.09,6,99,198.9,0,1,2,205,False,Responded,True
184,32,Female,171.74,6845.17,18,84,151.01,3,0,4,206,True,Ignored,True
185,50,Female,22.93,1693.78,1,69,372.21,8,1,5,196,False,Responded,True
186,22,Male,135.7,4659.91,12,76,418.99,2,2,4,174,True,Responded,False
187,21,Other,99.72,9670.7,2,22,131.84,2,1,4,41,False,Unsubscribed,False
188,63,Male,181.66,5393.61,19,4,261.9,0,0,1,106,False,Responded,False
189,29,Male,77.87,343.68,15,35,355.75,3,3,5,185,True,Responded,False
190,40,Female,105.35,6235.74,19,84,414.02,0,3,2,287,True,Unsubscribed,True
191,31,Other,112.66,2785.04,10,91,366.36,7,0,2,338,True,Unsubscribed,True
192,63,Other,45.28,1078.57,7,73,58.6,3,0,2,348,True,Responded,False
193,29,Male,148.32,4088.79,5,79,345.2,7,1,4,324,True,Responded,False
194,34,Male,169.49,5629.38,12,36,453.65,1,0,5,283,True,Unsubscribed,False
195,42,Other,30.42,268.7,18,77,226.57,5,0,1,43,True,Ignored,False
196,47,Male,72.45,5634.56,1,82,373.88,5,0,3,204,False,Unsubscribed,False
197,39,Female,26.85,5160.91,12,88,481.34,7,0,1,122,False,Unsubscribed,False
198,64,Female,192.18,7959.69,19,82,350.04,0,4,2,148,False,Responded,False
199,43,Male,140.09,4293.14,9,97,151.97,3,4,1,342,True,Unsubscribed,False
200,34,Female,193.56,5579.16,3,50,231.52,3,3,4,101,False,Unsubscribed,False
201,37,Other,115.67,7445.89,19,12,239.67,6,1,2,53,True,Ignored,True
202,51,Male,164.37,8981.74,7,67,426.03,0,3,1,234,True,Responded,False
203,58,Female,87.39,3862.34,15,23,484.45,1,3,1,242,False,Responded,True
204,50,Male,83.69,6056.17,12,69,300.67,7,1,3,237,True,Ignored,False
205,54,Other,88.09,6976.65,2,42,47.69,6,1,2,232,True,Unsubscribed,False
206,24,Female,138.42,528.38,14,43,475.28,8,3,3,110,False,Ignored,False
207,39,Other,84.7,8027.53,14,16,497.07,7,0,2,222,True,Unsubscribed,False
208,49,Male,182.07,3836.56,2,60,203.83,2,0,3,338,False,Unsubscribed,True
209,31,Male,196.99,6735.37,11,61,414.66,6,2,1,14,True,Ignored,False
210,25,Female,25.48,4769.47,14,82,222.6,1,2,4,191,False,Responded,False
211,42,Other,54.85,7053.16,15,78,350.78,8,2,3,322,True,Responded,False
212,33,Male,40.2,7270.88,1,96,30.52,4,3,2,119,True,Unsubscribed,False
213,59,Other,27.63,1996.55,12,4,446.44,9,1,5,278,True,Responded,True
214,36,Other,60.99,6655.52,8,46,31.95,5,4,5,76,True,Ignored,False
215,58,Female,100.42,8528.1,4,26,117.83,8,1,3,341,True,Ignored,False
216,33,Other,170.66,2432.12,15,52,288.2,2,4,1,202,False,Ignored,False
217,29,Male,59.93,7606.02,1,29,442.5,9,1,3,268,False,Ignored,False
218,56,Male,108.91,6374.87,9,83,143.52,1,1,4,136,True,Ignored,True
219,65,Female,187.33,9555.75,4,96,53.77,3,4,2,157,False,Responded,True
220,47,Other,140.1,2676.44,12,24,406.69,1,0,5,144,False,Unsubscribed,False
221,19,Male,163.65,1627.35,2,11,186.06,3,2,2,358,False,Ignored,True
222,49,Male,119.18,3190.0,7,14,374.37,8,3,2,348,True,Unsubscribed,True
223,62,Female,196.48,2653.79,15,78,104.27,8,3,3,150,False,Unsubscribed,True
224,42,Other,125.96,7592.64,5,14,124.1,7,0,1,282,True,Ignored,True
225,42,Other,28.19,7357.78,11,84,183.49,9,0,2,217,True,Unsubscribed,False
226,21,Other,55.64,6729.88,4,66,394.48,4,3,1,202,False,Responded,True
227,36,Male,92.86,2242.15,16,4,469.79,7,4,4,74,False,Unsubscribed,False
228,65,Male,128.23,8631.89,7,13,395.73,1,3,4,252,True,Unsubscribed,True
229,21,Female,158.95,9570.06,12,9,13.81,3,1,1,130,False,Ignored,False
230,60,Male,94.36,5362.9,3,11,406.14,0,4,3,349,False,Responded,False
231,30,Female,147.81,6528.79,4,7,321.85,0,0,3,121,True,Ignored,False
232,56,Female,162.18,5056.85,18,53,401.28,3,3,3,232,False,Ignored,False
233,53,Other,77.11,2907.22,11,32,290.44,8,0,5,293,True,Responded,True
234,40,Female,196.27,2932.86,1,44,24.04,3,4,4,221,False,Ignored,True
235,23,Other,136.94,3202.86,7,96,403.53,1,1,4,44,True,Unsubscribed,False
236,41,Other,178.58,1989.42,2,22,47.42,4,1,2,196,False,Responded,True
237,61,Male,120.07,9029.04,15,14,180.64,9,0,1,10,False,Responded,True
238,50,Male,153.49,8598.14,4,72,274.89,6,4,5,164,True,Ignored,True
239,29,Female,158.7,4670.23,18,46,150.08,6,1,5,7,False,Responded,False
240,58,Female,183.48,3735.79,8,29,382.26,6,1,2,231,False,Ignored,True
241,38,Female,47.06,9396.88,15,83,487.32,1,1,1,82,False,Unsubscribed,True
242,28,Female,120.49,2301.5,12,30,236.66,1,4,3,86,True,Ignored,True
243,61,Male,97.11,5580.07,14,62,476.85,8,1,2,126,False,Ignored,False
244,55,Female,186.17,639.53,1,27,459.35,7,4,3,204,True,Responded,True
245,46,Other,38.92,1992.9,1,51,410.95,0,0,3,297,True,Responded,True
246,65,Male,196.86,6079.87,19,16,366.16,6,4,3,264,True,Ignored,False
247,58,Other,177.58,6655.62,18,47,19.81,6,0,3,28,True,Unsubscribed,True
248,20,Female,33.29,5851.86,10,66,451.79,3,0,4,298,True,Ignored,False
249,45,Male,108.37,8709.05,6,52,290.57,3,1,2,320,True,Unsubscribed,True
250,37,Other,149.16,9934.71,13,26,74.47,8,0,5,347,True,Ignored,False
251,43,Male,152.87,7662.23,18,19,348.79,2,0,1,203,True,Responded,True
252,41,Other,183.17,4704.41,4,40,143.23,8,2,4,229,True,Unsubscribed,True
253,69,Male,163.98,8355.95,4,49,348.95,1,2,2,294,False,Ignored,False
254,64,Other,75.97,1291.84,3,46,49.41,3,2,3,97,False,Unsubscribed,True
255,38,Other,109.72,6864.38,6,23,487.78,4,3,4,6,True,Unsubscribed,True
256,47,Other,146.32,5231.54,7,28,42.6,4,4,1,253,True,Ignored,False
257,21,Male,44.92,1862.85,9,76,435.18,3,4,3,314,False,Unsubscribed,False
258,53,Other,54.92,9732.04,1,45,164.79,3,2,2,202,True,Ignored,True
259,57,Other,106.59,3450.53,13,39,153.62,3,1,4,347,True,Ignored,True
260,27,Female,73.68,6192.69,7,1,203.54,4,2,3,44,True,Unsubscribed,True
261,27,Other,175.26,8798.08,8,10,388.55,7,4,4,295,False,Ignored,False
262,59,Female,125.53,5116.22,10,23,107.88,9,2,3,89,True,Responded,True
263,41,Male,82.76,1239.86,7,70,229.07,3,1,3,133,False,Unsubscribed,True
264,21,Other,172.79,8205.52,6,24,249.51,2,4,3,75,True,Responded,False
265,64,Male,164.88,3596.82,5,71,454.69,1,0,4,218,False,Responded,True
266,44,Female,199.7,9832.36,8,87,281.88,2,1,5,125,False,Responded,False
267,68,Female,172.52,8849.87,16,88,322.94,3,3,1,310,False,Responded,True
268,62,Male,94.6,8549.15,4,66,448.1,9,2,4,176,False,Responded,False
269,21,Other,42.95,3626.91,8,56,173.34,2,4,2,28,False,Responded,False
270,49,Male,171.32,7595.58,9,56,45.4,6,1,1,90,False,Ignored,False
271,27,Female,30.76,9864.66,19,27,396.37,5,3,1,28,False,Ignored,True
272,28,Female,83.05,5310.58,15,32,381.78,7,4,3,131,False,Unsubscribed,True
273,45,Other,185.55,4760.25,8,20,168.91,6,4,2,319,True,Responded,False
274,63,Female,192.94,245.19,3,62,474.5,7,2,4,364,False,Ignored,True
275,25,Other,135.3,7032.02,3,26,418.51,1,1,3,2,False,Responded,False
276,57,Other,143.96,8598.93,17,72,11.38,9,0,2,265,False,Unsubscribed,False
277,39,Other,27.64,2549.83,14,12,61.78,2,4,2,360,True,Ignored,False
278,51,Female,112.61,3218.74,14,58,237.63,3,1,1,57,True,Ignored,True
279,62,Male,118.44,5056.7,2,56,456.05,8,3,2,311,True,Ignored,False
280,52,Male,81.22,813.59,14,18,96.37,1,0,5,61,False,Responded,True
281,52,Female,32.35,987.46,11,55,337.79,7,4,2,314,False,Responded,True
282,42,Male,61.2,4269.0,14,1,435.33,2,2,5,22,False,Ignored,True
283,51,Male,84.44,2686.07,7,12,465.64,2,2,3,130,False,Responded,False
284,23,Female,98.33,4119.77,19,37,331.47,7,0,4,62,False,Unsubscribed,True
285,58,Male,126.37,4598.42,8,78,182.89,8,4,4,5,True,Ignored,True
286,54,Female,150.03,9765.11,14,9,188.27,0,4,5,274,True,Ignored,True
287,18,Other,77.17,9448.17,4,64,383.5,3,3,1,132,True,Responded,True
288,29,Other,79.21,1483.33,11,11,436.71,9,3,4,287,True,Responded,False
289,52,Male,23.54,8837.6,4,90,481.32,6,2,2,173,True,Unsubscribed,False
290,23,Female,27.36,894.05,6,10,382.03,6,2,4,307,True,Ignored,False
291,34,Other,66.41,5125.59,6,85,283.81,7,4,3,88,True,Unsubscribed,True
292,26,Female,153.24,1722.71,2,5,457.4,4,1,2,81,False,Unsubscribed,True
293,19,Female,133.1,3722.33,19,60,471.97,9,3,3,128,True,Ignored,True
294,35,Female,158.56,7459.07,1,40,239.12,4,0,4,346,True,Unsubscribed,False
295,66,Male,158.41,4302.6,13,81,474.71,3,0,1,92,True,Ignored,True
296,53,Other,174.18,8088.82,14,83,305.59,8,0,2,16,True,Responded,False
297,45,Male,149.66,7216.28,3,79,210.42,7,2,3,25,False,Ignored,False
298,58,Female,196.22,9434.11,19,88,442.58,9,1,5,258,False,Responded,True
299,54,Other,181.79,5388.14,17,53,215.65,2,0,3,181,True,Responded,True
300,66,Male,125.61,8041.26,4,49,186.57,8,2,5,267,True,Responded,True
301,43,Other,125.87,3296.78,13,31,411.17,9,3,5,330,False,Unsubscribed,False
302,21,Male,26.17,3522.88,9,4,487.78,1,3,1,330,True,Unsubscribed,False
303,57,Female,199.73,4065.05,4,11,334.83,2,1,5,130,True,Responded,False
304,53,Other,43.68,4168.07,10,33,168.63,5,2,2,75,True,Unsubscribed,False
305,68,Female,153.26,1122.21,13,22,419.47,3,4,4,42,True,Unsubscribed,False
306,48,Female,167.78,5239.08,18,42,457.81,1,3,3,107,True,Ignored,True
307,47,Other,87.15,1058.35,12,98,83.04,6,2,2,30,True,Ignored,True
308,67,Other,55.43,8908.65,16,19,161.62,1,1,5,77,True,Responded,True
309,51,Male,37.78,712.26,1,98,312.37,8,3,2,193,False,Ignored,False
310,36,Male,154.75,4551.97,14,52,172.97,5,2,2,350,False,Responded,True
311,35,Female,101.48,2918.47,7,77,312.85,9,4,1,67,False,Unsubscribed,False
312,47,Male,148.47,1633.21,5,64,415.34,3,4,5,70,False,Unsubscribed,True
313,38,Other,184.77,7859.98,2,53,77.86,3,1,2,17,False,Responded,False
314,20,Other,46.39,7177.83,4,67,315.85,7,3,3,15,True,Unsubscribed,True
315,23,Other,185.45,1544.88,10,90,335.05,6,1,1,11,False,Ignored,False
316,55,Female,94.09,6364.38,15,95,438.16,4,4,2,133,False,Ignored,True
317,30,Male,74.95,7946.3,19,52,359.32,5,1,3,7,True,Responded,False
318,62,Male,189.75,7755.99,15,93,396.61,5,3,3,109,True,Ignored,True
319,20,Male,198.32,1013.57,19,42,91.1,2,3,5,152,True,Ignored,False
320,65,Male,55.8,6886.58,10,18,74.91,3,2,2,86,False,Unsubscribed,True
321,45,Male,138.23,7188.64,3,15,453.21,8,2,5,261,True,Responded,True
322,39,Male,39.17,8635.45,11,60,91.1,5,0,3,56,True,Responded,True
323,57,Male,137.16,5129.64,18,61,191.48,9,2,2,105,False,Unsubscribed,False
324,57,Female,168.92,4664.83,2,14,397.18,3,0,5,258,True,Responded,True
325,29,Male,143.21,9654.65,18,98,39.62,4,2,5,206,False,Unsubscribed,False
326,40,Male,95.12,7985.47,15,23,264.81,9,3,4,172,False,Responded,True
327,48,Male,88.95,5631.44,16,62,277.49,6,3,1,42,True,Responded,True
328,35,Female,90.76,3373.11,19,89,11.99,2,1,3,351,True,Responded,False
329,24,Male,126.15,8467.86,19,31,202.64,8,3,3,105,True,Unsubscribed,True
330,25,Female,178.68,4608.82,12,11,454.51,5,3,5,78,True,Unsubscribed,True
331,36,Female,187.23,1017.58,6,4,218.86,5,0,3,348,False,Unsubscribed,False
